Title,Price,Red Price,Yellow Price,Blue Price,Brand Name,Category,Swatches Total,Selling Attribute,Link
Rib-knit Sweater,$ 64.99,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1195644001.html
Rib-knit Sweater,$ 64.99,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1195644002.html
Chunky Loafers,$ 49.99,,,,H&M,ladies_shoes,2,New Arrival,https://www2.hm.com/en_us/productpage.1165699003.html
Draped satin dress,$ 84.99,,,,H&M,ladies_dresses_mididresses,2,New Arrival,https://www2.hm.com/en_us/productpage.1201249001.html
Knee-high Cowboy Boots,$ 79.99,,,,H&M,ladies_shoes,1,New Arrival,https://www2.hm.com/en_us/productpage.1181120002.html
Chunky Chelsea Boots,$ 54.99,,,,H&M,ladies_shoes,2,New Arrival,https://www2.hm.com/en_us/productpage.1101121005.html
Mock Turtleneck Crop Top,$ 13.99,,,,H&M,ladies_tops_croppedtops,2,New Arrival,https://www2.hm.com/en_us/productpage.1174186003.html
Draped Mock Turtleneck Top,$ 17.99,,,,H&M,ladies_tops_longsleeve,2,New Arrival,https://www2.hm.com/en_us/productpage.1205396003.html
Cotton Cargo Pants,$ 29.99,,,,H&M,ladies_trousers_cargo,2,New Arrival,https://www2.hm.com/en_us/productpage.1178790003.html
Bodycon Dress,$ 25.99,,,,H&M,ladies_dresses_shortdresses,3,New Arrival,https://www2.hm.com/en_us/productpage.1205980003.html
Jacquard-knit Sweater,$ 18.99,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1161787001.html
Dress Pants,$ 26.99,,,,H&M,ladies_divided_new_clothes,4,New Arrival,https://www2.hm.com/en_us/productpage.1107363019.html
Bomber Jacket with Motif,$ 66.99,,,,H&M,ladies_divided_jacketscoats,2,New Arrival,https://www2.hm.com/en_us/productpage.1163276001.html
Oversized Printed T-shirt,$ 17.99,,,,H&M,ladies_tops_printed_tshirts,6,New Arrival,https://www2.hm.com/en_us/productpage.1162785022.html
Oversized Hoodie with Motif,$ 34.99,,,,H&M,ladies_hoodiesswetshirts_hoodies,2,New Arrival,https://www2.hm.com/en_us/productpage.1173041002.html
Oversized Poplin Shirt,$ 24.99,,,,H&M,ladies_divided_new_clothes,7,New Arrival,https://www2.hm.com/en_us/productpage.1134735020.html
Jacquard-knit Sweater,$ 29.99,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1161844001.html
Oversized Double-breasted Blazer,$ 64.99,,,,H&M,ladies_divided_jacketscoats,1,New Arrival,https://www2.hm.com/en_us/productpage.1193184001.html
Oversized Printed Sweatshirt,$ 34.99,,,,H&M,ladies_divided_hoodiessweatshirts,4,New Arrival,https://www2.hm.com/en_us/productpage.1163238003.html
Oversized Printed T-shirt,$ 17.99,,,,H&M,ladies_tops_printed_tshirts,6,New Arrival,https://www2.hm.com/en_us/productpage.1163120009.html
Rib-knit Sweater Vest,$ 12.99,,,,H&M,ladies_cardigansjumpers_jumpers,3,New Arrival,https://www2.hm.com/en_us/productpage.1161769001.html
Oversized embroidered sweatshirt,$ 24.99,,,,H&M,ladies_divided_conscious,1,New Arrival,https://www2.hm.com/en_us/productpage.1203270001.html
Open-backed Poplin Shirt,$ 39.99,,,,H&M,ladies_divided_new_clothes,1,New Arrival,https://www2.hm.com/en_us/productpage.1193186001.html
Dressy Mini Skirt,$ 24.99,,,,H&M,Ladies_skirts_a-line,2,New Arrival,https://www2.hm.com/en_us/productpage.1181196002.html
Oversized Printed T-shirt,$ 17.99,,,,H&M,ladies_tops_printed_tshirts,4,New Arrival,https://www2.hm.com/en_us/productpage.1163102011.html
Printed Sweatshirt,$ 29.99,,,,H&M,ladies_hoodiesswetshirts_sweatshirts,2,New Arrival,https://www2.hm.com/en_us/productpage.1172984002.html
Corset top,$ 17.99,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1159856001.html
Tailored Skirt,$ 24.99,,,,H&M,ladies_divided_new_clothes,1,New Arrival,https://www2.hm.com/en_us/productpage.1181984002.html
Boxy Cotton Shirt,$ 17.99,,,,H&M,ladies_divided_new_clothes,2,New Arrival,https://www2.hm.com/en_us/productpage.1168182001.html
Oversized Jacket,$ 66.99,,,,H&M,ladies_jacketscoats_jackets,1,New Arrival,https://www2.hm.com/en_us/productpage.1163305001.html
Puff-sleeved Denim Dress,$ 49.99,,,,H&M,ladies_dresses_puffsleeve,1,New Arrival,https://www2.hm.com/en_us/productpage.1178302001.html
Denim Skirt,$ 34.99,,,,H&M,Ladies_skirts_denim,2,New Arrival,https://www2.hm.com/en_us/productpage.1110116004.html
Ankle-length Pants,$ 30.99,,,,H&M,ladies_trousers_highwaisted,2,New Arrival,https://www2.hm.com/en_us/productpage.1011909032.html
Rib-knit Half-zip Sweater,$ 39.99,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1128821004.html
Sweatshirt,$ 19.99,,,,H&M,ladies_hoodiesswetshirts_sweatshirts,4,New Arrival,https://www2.hm.com/en_us/productpage.1011828060.html
Oversized Rib-knit Cardigan,$ 34.99,,,,H&M,ladies_cardigansjumpers_cardigans,2,New Arrival,https://www2.hm.com/en_us/productpage.1158652005.html
